date,ticker,search_interest
2019-01-01,CMG,75
2019-02-01,CMG,68
2019-03-01,CMG,69
2019-04-01,CMG,76
2019-05-01,CMG,73
2019-06-01,CMG,72
2019-07-01,CMG,73
2019-08-01,CMG,70
2019-09-01,CMG,72
2019-10-01,CMG,75
2019-11-01,CMG,70
2019-12-01,CMG,73
2020-01-01,CMG,76
2020-02-01,CMG,72
2020-03-01,CMG,77
2020-04-01,CMG,95
2020-05-01,CMG,100
2020-06-01,CMG,91
2020-07-01,CMG,90
2020-08-01,CMG,81
2020-09-01,CMG,81
2020-10-01,CMG,78
2020-11-01,CMG,74
2020-12-01,CMG,77
2021-01-01,CMG,90
2021-02-01,CMG,78
2021-03-01,CMG,88
2021-04-01,CMG,100
2021-05-01,CMG,90
2021-06-01,CMG,82
2021-07-01,CMG,86
2021-08-01,CMG,79
2021-09-01,CMG,78
2021-10-01,CMG,91
2021-11-01,CMG,78
2021-12-01,CMG,83
2022-01-01,CMG,85
2022-02-01,CMG,72
2022-03-01,CMG,72
2022-04-01,CMG,78
2022-05-01,CMG,73
2022-06-01,CMG,75
2022-07-01,CMG,75
2022-08-01,CMG,72
2022-09-01,CMG,70
2022-10-01,CMG,66
2022-11-01,CMG,60
2022-12-01,CMG,69
2023-01-01,CMG,75
2023-02-01,CMG,72
2023-03-01,CMG,76
2023-04-01,CMG,78
2023-05-01,CMG,75
2023-06-01,CMG,73
2023-07-01,CMG,70
2023-08-01,CMG,73
2023-09-01,CMG,70
2023-10-01,CMG,73
2023-11-01,CMG,68
2023-12-01,CMG,73
2024-01-01,CMG,79
2024-02-01,CMG,81
2024-03-01,CMG,88
2024-04-01,CMG,95
2024-05-01,CMG,91
2024-06-01,CMG,94
2024-07-01,CMG,87
2024-08-01,CMG,89
2024-09-01,CMG,81
2024-10-01,CMG,85
2024-11-01,CMG,75
2024-12-01,CMG,87
2025-01-01,CMG,84
2025-02-01,CMG,84
2025-03-01,CMG,99
2025-04-01,CMG,96
2025-05-01,CMG,88
2025-06-01,CMG,86
2025-07-01,CMG,86
2025-08-01,CMG,99
2025-09-01,CMG,88
2025-10-01,CMG,90
2025-11-01,CMG,88
2025-12-01,CMG,86
2019-01-01,TGT,58
2019-02-01,TGT,59
2019-03-01,TGT,61
2019-04-01,TGT,61
2019-05-01,TGT,61
2019-06-01,TGT,64
2019-07-01,TGT,65
2019-08-01,TGT,65
2019-09-01,TGT,63
2019-10-01,TGT,62
2019-11-01,TGT,84
2019-12-01,TGT,100
2020-01-01,TGT,57
2020-02-01,TGT,56
2020-03-01,TGT,71
2020-04-01,TGT,86
2020-05-01,TGT,91
2020-06-01,TGT,78
2020-07-01,TGT,74
2020-08-01,TGT,70
2020-09-01,TGT,66
2020-10-01,TGT,63
2020-11-01,TGT,91
2020-12-01,TGT,96
2021-01-01,TGT,64
2021-02-01,TGT,59
2021-03-01,TGT,62
2021-04-01,TGT,60
2021-05-01,TGT,61
2021-06-01,TGT,63
2021-07-01,TGT,57
2021-08-01,TGT,60
2021-09-01,TGT,58
2021-10-01,TGT,63
2021-11-01,TGT,80
2021-12-01,TGT,95
2022-01-01,TGT,61
2022-02-01,TGT,56
2022-03-01,TGT,59
2022-04-01,TGT,60
2022-05-01,TGT,57
2022-06-01,TGT,59
2022-07-01,TGT,62
2022-08-01,TGT,58
2022-09-01,TGT,55
2022-10-01,TGT,56
2022-11-01,TGT,68
2022-12-01,TGT,77
2023-01-01,TGT,54
2023-02-01,TGT,53
2023-03-01,TGT,48
2023-04-01,TGT,51
2023-05-01,TGT,55
2023-06-01,TGT,52
2023-07-01,TGT,55
2023-08-01,TGT,51
2023-09-01,TGT,54
2023-10-01,TGT,52
2023-11-01,TGT,63
2023-12-01,TGT,70
2024-01-01,TGT,51
2024-02-01,TGT,52
2024-03-01,TGT,52
2024-04-01,TGT,51
2024-05-01,TGT,53
2024-06-01,TGT,54
2024-07-01,TGT,57
2024-08-01,TGT,58
2024-09-01,TGT,52
2024-10-01,TGT,55
2024-11-01,TGT,62
2024-12-01,TGT,76
2025-01-01,TGT,57
2025-02-01,TGT,54
2025-03-01,TGT,52
2025-04-01,TGT,52
2025-05-01,TGT,51
2025-06-01,TGT,54
2025-07-01,TGT,58
2025-08-01,TGT,68
2025-09-01,TGT,62
2025-10-01,TGT,66
2025-11-01,TGT,74
2025-12-01,TGT,78
